mesh_config,network_pressure,mbps_down,mbps_up,ms_latency,is_outlier,is_not_measured_by_google
orbi_legacy,1,193.9,110.3,6,false,false
orbi_legacy,1,193.3,93.6,9,false,false
orbi_legacy,2,199.2,55.2,7,false,false
orbi_legacy,2,208.4,110.9,8,false,false
orbi_legacy,3,195.0,0.09,7,true,false
orbi_legacy,3,211.0,106.8,8,false,false
orbi_legacy,3,176.3,81.0,9,false,false
orbi_rbs50v2,1,290.0,341.0,5,false,true
orbi_rbs50v2,1,243.9,181.9,5,false,false
orbi_rbs50v2,3,201.2,145.4,7,false,false
orbi_rbs50v2,4,198.3,140.9,6,false,false
orbi_rbs50v2,4,178.0,139.3,6,false,false